example file                                                                   
k1=1.0E13,k2=1.0E13,k3=500000.0,k4=1000.0,k5=1.0,
Iter,Time,a,b,c,d,m,n,p,
152,0.151000E-06,0.520522E-06,0.168662E-06,0.482338E-06,0.183198E-06,0.148140E-06,0.143149E-06,0.499122E-08,
153,0.152000E-06,0.518696E-06,0.167788E-06,0.484212E-06,0.183120E-06,0.149092E-06,0.144029E-06,0.506300E-08,
154,0.153000E-06,0.516882E-06,0.166922E-06,0.486078E-06,0.183038E-06,0.150040E-06,0.144905E-06,0.513522E-08,
155,0.154000E-06,0.515078E-06,0.166063E-06,0.487937E-06,0.182952E-06,0.150985E-06,0.145777E-06,0.520788E-08,
156,0.155000E-06,0.513286E-06,0.165212E-06,0.489788E-06,0.182863E-06,0.151926E-06,0.146645E-06,0.528098E-08,
157,0.156000E-06,0.511505E-06,0.164368E-06,0.491632E-06,0.182770E-06,0.152862E-06,0.147508E-06,0.535450E-08,
158,0.157000E-06,0.509735E-06,0.163531E-06,0.493469E-06,0.182674E-06,0.153795E-06,0.148367E-06,0.542847E-08,
159,0.158000E-06,0.507976E-06,0.162701E-06,0.495299E-06,0.182575E-06,0.154725E-06,0.149222E-06,0.550286E-08,
160,0.159000E-06,0.506227E-06,0.161878E-06,0.497122E-06,0.182472E-06,0.155650E-06,0.150073E-06,0.557767E-08,
161,0.160000E-06,0.504490E-06,0.161062E-06,0.498938E-06,0.182366E-06,0.156572E-06,0.150919E-06,0.565291E-08,
162,0.161000E-06,0.502763E-06,0.160253E-06,0.500747E-06,0.182257E-06,0.157490E-06,0.151762E-06,0.572857E-08,
163,0.162000E-06,0.501046E-06,0.159451E-06,0.502549E-06,0.182144E-06,0.158405E-06,0.152600E-06,0.580465E-08,
164,0.163000E-06,0.499340E-06,0.158656E-06,0.504344E-06,0.182029E-06,0.159316E-06,0.153435E-06,0.588116E-08,
165,0.164000E-06,0.497644E-06,0.157867E-06,0.506133E-06,0.181910E-06,0.160223E-06,0.154265E-06,0.595807E-08,
166,0.165000E-06,0.495958E-06,0.157085E-06,0.507915E-06,0.181789E-06,0.161126E-06,0.155091E-06,0.603540E-08,
167,0.166000E-06,0.494283E-06,0.156309E-06,0.509691E-06,0.181665E-06,0.162026E-06,0.155913E-06,0.611315E-08,
